,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,63.0,19.0,0.768,—,112.0,105.6,6.35
1,Philadelphia 76ers,58.0,24.0,0.707,5.0,111.2,105.5,5.74
2,New Jersey Nets,44.0,38.0,0.537,19.0,106.7,106.0,0.87
3,Washington Bullets,43.0,39.0,0.524,20.0,103.5,102.6,1.06
4,New York Knicks,33.0,49.0,0.402,30.0,106.2,108.9,-2.15
5,Milwaukee Bucks,55.0,27.0,0.671,—,108.4,102.9,5.38
6,Atlanta Hawks,42.0,40.0,0.512,13.0,101.0,100.5,0.81
7,Detroit Pistons,39.0,43.0,0.476,16.0,111.1,112.0,-0.63
8,Indiana Pacers,35.0,47.0,0.427,20.0,102.2,104.0,-1.49
9,Chicago Bulls,34.0,48.0,0.415,21.0,106.6,108.6,-1.57
10,Cleveland Cavaliers,15.0,67.0,0.183,40.0,103.2,111.7,-7.77
11,San Antonio Spurs,48.0,34.0,0.585,—,113.1,110.8,1.79
12,Denver Nuggets,46.0,36.0,0.561,2.0,126.5,126.0,0.13
13,Houston Rockets,46.0,36.0,0.561,2.0,105.9,105.9,-0.39
14,Kansas City Kings,30.0,52.0,0.366,18.0,107.1,110.2,-3.25
15,Dallas Mavericks,28.0,54.0,0.341,20.0,104.6,109.0,-4.48
16,Utah Jazz,25.0,57.0,0.305,23.0,110.9,116.6,-5.63
17,Los Angeles Lakers,57.0,25.0,0.695,—,114.6,109.8,4.37
18,Seattle SuperSonics,52.0,30.0,0.634,5.0,107.3,103.1,3.69
19,Phoenix Suns,46.0,36.0,0.561,11.0,106.2,102.7,3.05
20,Golden State Warriors,45.0,37.0,0.549,12.0,110.9,109.8,0.8
21,Portland Trail Blazers,42.0,40.0,0.512,15.0,109.8,109.2,0.39
22,San Diego Clippers,17.0,65.0,0.207,40.0,108.5,115.9,-7.05
