,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,New Jersey Nets,47.0,35.0,0.573,—,90.3,87.8,1.88
1,Miami Heat,42.0,40.0,0.512,5.0,90.3,89.7,-0.13
2,New York Knicks,39.0,43.0,0.476,8.0,92.0,93.5,-1.97
3,Boston Celtics,36.0,46.0,0.439,11.0,95.3,96.7,-1.99
4,Philadelphia 76ers,33.0,49.0,0.402,14.0,88.0,90.5,-2.95
5,Washington Wizards,25.0,57.0,0.305,22.0,91.8,97.4,-6.12
6,Orlando Magic,21.0,61.0,0.256,26.0,94.0,101.1,-7.25
7,Indiana Pacers,61.0,21.0,0.744,—,91.4,85.6,4.93
8,Detroit Pistons,54.0,28.0,0.659,7.0,90.1,84.3,5.04
9,New Orleans Hornets,41.0,41.0,0.5,20.0,91.8,91.9,-0.72
10,Milwaukee Bucks,41.0,41.0,0.5,20.0,98.0,97.0,0.42
11,Cleveland Cavaliers,35.0,47.0,0.427,26.0,92.9,95.5,-3.07
12,Toronto Raptors,33.0,49.0,0.402,28.0,85.4,88.5,-3.42
13,Atlanta Hawks,28.0,54.0,0.341,33.0,92.8,97.5,-5.0
14,Chicago Bulls,23.0,59.0,0.28,38.0,89.7,96.0,-6.69
15,Minnesota Timberwolves,58.0,24.0,0.707,—,94.5,89.1,5.86
16,San Antonio Spurs,57.0,25.0,0.695,1.0,91.5,84.3,7.51
17,Dallas Mavericks,52.0,30.0,0.634,6.0,105.2,100.8,4.86
18,Memphis Grizzlies,50.0,32.0,0.61,8.0,96.7,94.3,2.95
19,Houston Rockets,45.0,37.0,0.549,13.0,89.8,88.0,2.28
20,Denver Nuggets,43.0,39.0,0.524,15.0,97.2,96.1,1.65
21,Utah Jazz,42.0,40.0,0.512,16.0,88.7,89.9,-0.53
22,Los Angeles Lakers,56.0,26.0,0.683,—,98.2,94.3,4.35
23,Sacramento Kings,55.0,27.0,0.671,1.0,102.8,97.8,5.41
24,Portland Trail Blazers,41.0,41.0,0.5,15.0,90.7,92.0,-0.58
25,Golden State Warriors,37.0,45.0,0.451,19.0,93.3,94.0,-0.07
26,Seattle SuperSonics,37.0,45.0,0.451,19.0,97.1,97.8,0.02
27,Phoenix Suns,29.0,53.0,0.354,27.0,94.2,97.9,-2.94
28,Los Angeles Clippers,28.0,54.0,0.341,28.0,94.8,99.4,-3.74
